SecFrom20170901	location	place	none
845953	0	4	76
845952	0	2	88
845951	0	2	68
845950	1	3	72
845949	0	5	82
845948	0	3	65
845947	2	7	74
845946	0	5	71
845945	1	4	83
845944	1	2	91
845943	1	7	85
845942	0	2	82
845941	1	5	81
845940	0	5	64
845939	2	6	62
845938	1	2	67
845423	1	7	92
845422	2	4	63
845421	2	5	72
845420	0	3	78
845419	1	4	79
845418	1	5	97
845417	2	2	82
845416	3	7	86
845415	1	2	75
845414	1	3	85
845413	0	3	70
845412	0	3	74
845411	0	4	74
845410	0	5	74
845409	0	5	72
845408	0	5	99
845407	1	5	79
845406	0	2	85
845405	0	4	86
845404	2	3	88
845403	0	2	108
845402	0	1	82
845401	0	2	71
845400	2	3	102
845399	1	6	65
845398	1	5	73
845397	0	5	80
845396	2	4	68
845395	0	11	74
845394	1	2	75
845393	2	4	86
845392	0	4	72
845391	1	6	66
845390	0	8	64
845389	1	5	79
845388	0	7	70
845387	0	4	80
845386	1	3	70
845385	0	5	90
845384	0	7	76
845383	0	1	76
845382	1	2	75
845381	1	6	85
845380	1	5	84
845379	0	5	73
845378	1	4	73
845377	0	6	58
845376	0	5	77
845375	1	3	89
845374	1	5	74
845373	0	2	75
845372	2	2	76
845371	0	4	79
845370	2	12	74
845369	0	3	75
845368	1	7	72
845367	0	7	67
845366	1	6	70
845365	0	6	83
845364	1	8	77
845363	0	5	79
845362	1	3	88
845361	0	2	88
845360	0	8	81
845359	1	4	70
845358	0	11	82
845357	0	4	71
845356	0	5	74
845355	0	6	91
845354	0	4	67
845353	0	8	74
845352	1	7	71
845351	0	4	75
845350	0	9	83
845349	2	5	85
845348	1	7	72
845347	0	5	83
845346	0	5	83
845345	1	2	87
845344	0	7	85
845343	0	4	72
845342	0	7	104
845341	0	6	70
845340	2	7	84
845339	0	5	69
845338	0	1	79
845337	2	1	75
845336	3	1	82
845335	0	3	73
845334	0	1	84
845333	0	6	77
845332	0	4	87
845331	1	4	75
845330	0	8	68
845329	1	6	78
845328	1	3	71
845327	3	3	82
845326	1	8	71
845325	1	7	77
845324	0	5	79
845323	0	6	80
845322	2	7	76
845321	2	2	73
845320	0	5	86
845319	1	3	78
845318	0	4	66
845317	0	7	51
845316	1	4	83
845315	1	6	85
845314	0	10	65
845313	1	6	78
845312	1	6	74
845311	1	5	77
845310	0	7	70
845309	1	6	77
845308	1	8	86
845307	1	6	59
845306	1	5	74
845305	1	7	62
845304	2	5	88
845303	1	8	79
845302	0	3	72
845301	0	5	76
845300	0	5	83
845299	1	4	79
845298	0	6	89
845297	3	5	71
845296	1	7	78
845295	1	6	70
845294	0	5	71
845293	1	4	84
845292	0	6	61
845291	0	5	68
845290	1	4	73
845289	0	3	62
845288	0	3	73
845287	0	1	78
845286	1	3	77
845285	0	2	80
845284	0	4	78
845283	0	6	94
845282	0	10	83
845281	0	6	85
845280	1	3	87
845279	0	8	73
845278	1	4	70
845277	0	4	71
845276	0	2	81
845275	1	2	92
845274	1	7	80
845273	1	5	74
845272	1	5	86
845271	1	3	92
845270	0	4	83
845269	0	6	81
845268	0	5	80
845267	0	8	94
845266	0	3	86
845265	0	4	83
845264	0	4	88
845263	1	2	64
845262	1	8	63
845261	0	5	69
845260	1	3	88
845259	0	8	77
845258	2	7	72
845257	2	6	88
845256	1	4	68
845255	0	8	87
845254	0	0	86
845253	1	2	75
845252	1	7	71
845251	0	0	52
845250	1	9	78
845249	1	4	62
845248	0	5	81
845247	0	6	85
845246	0	4	71
845245	2	7	82
845244	0	4	73
845243	2	4	77
845242	1	8	82
845241	2	5	85
845240	2	3	80
845239	0	10	67
845238	0	3	61
845237	2	3	71
845236	0	3	70
845235	0	7	69
845234	1	4	65
845233	0	8	85
845232	0	5	68
845231	1	4	71
845230	0	1	71
845229	0	2	63
845228	0	9	104
845227	0	4	70
845226	0	5	71
845225	0	4	73
845224	1	7	87
845223	1	6	89
845222	1	7	78
845221	0	4	79
845220	0	2	83
845219	0	7	94
845218	0	4	78
845217	1	5	88
845216	0	7	73
845215	2	8	77
845214	1	6	72
845213	1	4	75
845212	1	3	70
845211	1	5	88
845210	0	4	72
845209	1	3	82
845208	3	6	78
845207	1	3	84
845206	0	2	63
845205	0	7	74
845204	1	10	90
845203	2	6	78
845202	0	4	66
845201	1	5	90
845200	1	8	77
845199	1	7	84
845198	0	3	84
845197	1	3	74
845196	0	4	71
845195	1	4	76
845194	1	3	72
845193	0	2	91
845192	1	6	89
845191	0	3	74
845190	1	9	79
845189	0	3	67
845188	0	2	69
845187	1	5	73
845186	0	5	85
845185	0	1	69
845184	0	3	71
845183	0	3	65
845182	0	11	86
845181	2	5	57
845180	0	4	73
845179	0	6	71
845178	0	5	85
845177	1	7	89
845176	0	5	95
845175	1	6	78
845174	1	6	63
845173	0	1	89
845172	1	6	79
845171	0	4	64
845170	0	10	85
845169	0	7	78
845168	0	6	76
845167	0	6	84
845166	1	5	76
845165	0	5	96
845164	0	2	98
845163	2	5	86
845162	0	7	77
845161	0	4	82
845160	0	6	73
845159	0	2	92
845158	1	6	74
845157	0	5	72
845156	1	7	63
845155	2	8	70
845154	0	4	79
845153	1	3	80
845152	0	6	86
845151	0	7	73
845150	1	4	63
845149	1	5	72
845148	3	12	79
845147	1	4	85
845937	2	4	83
845936	0	6	72
845935	0	4	87
845934	1	4	77
845933	1	4	67
845932	0	6	85
845931	0	2	74
845930	1	5	57
845929	0	7	75
845928	0	2	71
845927	0	5	79
845926	0	5	79
845925	1	3	79
845924	0	8	71
845923	0	5	95
845922	0	7	92
845921	0	9	88
845920	0	6	72
845919	0	3	81
845918	0	3	83
845917	1	5	75
845916	1	6	83
845915	0	3	79
845914	0	10	79
845913	0	4	92
845912	1	7	85
845911	0	5	94
845910	0	8	71
845909	0	3	89
845908	0	7	73
845146	2	4	99
845145	1	3	76
845144	0	3	79
845143	2	5	71
845142	1	6	66
845141	0	7	77
845140	0	7	73
845139	0	2	64
845138	0	5	76
845137	1	2	59
845136	0	5	71
845135	3	2	80
845134	1	4	77
845133	0	3	63
845132	1	7	81
845131	1	4	82
845130	1	5	78
845129	0	5	68
845128	0	3	71
845127	2	2	77
845126	0	2	89
845125	0	4	96
845124	1	4	80
845123	0	9	86
845122	2	4	94
845121	0	4	76
845120	0	8	91
